,p1,p2,p3,p4,Average
XdawnCov,0.93423540214984069,0.9488017429193899,0.97558472424782583,0.89539782855290861,0.9385049244674912
Xdawn,0.92363024181205999,0.949260879742163,0.96654603071715373,0.86128666342570082,0.9251809539242694
Cosp,0.96782441167467903,0.94821656853742409,1.0,0.87114460109112513,0.9467963953258071
HankelCov,0.87946307999783946,0.74564720286645425,0.99549865860026288,0.86092655611372182,0.8703838743945695
CSSP,0.82378148688309116,0.6861394695619295,0.93509965969859021,0.79728659140423852,0.8105768018869624
Ensemble,0.9773852608077207,0.97320801598876461,1.0,0.91945299699310412,0.9675115684473974
