,ca,de,fp,ja,mv,wc,zt,Average
XdawnCov,0.98333333333333339,0.96986666666666677,0.9926666666666667,0.98906666666666665,0.98093333333333332,0.99840000000000007,1.0,0.987752380952381
Xdawn,0.96439999999999992,0.9874666666666666,0.93546666666666667,0.98693333333333333,0.93566666666666654,0.99639999999999995,0.99453333333333338,0.9715523809523808
Cosp,0.99946666666666673,0.99559999999999993,1.0,0.99986666666666668,0.98253333333333315,0.996,1.0,0.9962095238095239
HankelCov,0.98533333333333328,0.95333333333333325,0.99759999999999993,0.99519999999999997,0.98439999999999994,0.99026666666666674,1.0,0.9865904761904761
CSSP,0.88426666666666665,0.95400000000000007,0.97493333333333332,0.94933333333333325,0.95146666666666668,0.98986666666666656,0.99826666666666675,0.9574476190476192
Ensemble,0.9986666666666667,0.99853333333333338,0.99653333333333338,0.99893333333333334,0.99373333333333325,0.99880000000000002,1.0,0.9978857142857144
