,ca,de,fp,ja,mv,wc,zt,Average
XdawnCov,92.333333333333329,91.0,95.333333333333329,94.666666666666671,94.333333333333329,98.666666666666671,99.666666666666671,95.14285714285712
Xdawn,90.0,95.0,84.0,94.666666666666671,85.666666666666671,97.666666666666671,99.333333333333329,92.33333333333334
Cosp,98.666666666666671,98.0,99.666666666666671,99.666666666666671,98.0,97.333333333333329,100.0,98.76190476190477
HankelCov,96.0,89.666666666666671,96.333333333333329,97.666666666666671,95.666666666666671,95.0,99.333333333333329,95.66666666666667
CSSP,81.333333333333329,87.666666666666671,91.333333333333329,88.333333333333329,89.0,95.0,97.0,89.95238095238095
Ensemble,98.666666666666671,97.666666666666671,97.666666666666671,98.333333333333329,97.0,99.0,100.0,98.33333333333333
