,p1,p2,p3,p4,Average
XdawnCov,85.489220563847425,88.022011156339531,89.989446705864609,82.526760138700425,86.506859641188
Xdawn,87.969244685662602,87.991858887381284,90.004522840343725,76.51138248153174,85.61925222372983
Cosp,88.986883763003163,83.981607115935461,100.0,77.559173827830534,87.63191617669229
HankelCov,81.494044926880747,67.993366500829183,96.509874868083827,80.001507613447913,81.49969847731042
CSSP,75.961103573043872,62.467963214231872,88.022011156339531,74.543946932006648,75.24875621890548
Ensemble,92.484546962158902,93.984622342831301,98.989898989899004,83.031810643750944,92.12271973466004
